id,merge_distance_m,curvature_offset_m,min_ttc_s,mean_ttc_s,drac_max,drac_mean,hard_brake_events,near_miss_events,collision_count,vehicles_completed,avg_speed_ms
md100_co10,100,10,3.732,34.317,0.0023,0.067,169,0,0,659,27.403
md100_co20,100,20,3.7029,34.2936,0.0026,0.067,168,0,0,659,27.402
md100_co30,100,30,3.6677,34.2153,0.0031,0.0675,168,0,0,659,27.402
md100_co40,100,40,3.6223,34.2364,0.003,0.0673,172,0,0,659,27.401
md200_co10,200,10,4.1956,35.7263,0.0034,0.0551,140,0,0,659,27.237
md200_co20,200,20,4.1781,35.7181,0.0037,0.0552,139,0,0,659,27.237
md200_co30,200,30,4.1393,35.8221,0.0027,0.0551,140,0,0,659,27.235
md200_co40,200,40,4.2511,35.7251,0.0029,0.0554,139,0,0,659,27.234
md300_co10,300,10,3.6112,35.2488,0.0029,0.0559,217,0,0,657,26.982
md300_co20,300,20,3.5851,35.2398,0.0024,0.0559,216,0,0,657,26.982
md300_co30,300,30,3.6115,35.2286,0.0027,0.054,205,0,0,657,26.997
md300_co40,300,40,3.5307,35.28,0.0026,0.0533,202,0,0,657,27.002
md400_co10,400,10,4.3028,35.4811,0.0024,0.05,254,0,0,657,26.886
md400_co20,400,20,4.3036,35.3949,0.0026,0.0502,250,0,0,657,26.887
md400_co30,400,30,4.3499,35.6167,0.0029,0.0487,221,0,0,657,26.923
md400_co40,400,40,6.3331,36.909,0.0036,0.0398,222,0,0,657,26.913
